ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered%,Weight_in_gms,Reached.on.Time_Y.N,Final_Price,Delivery_Status,Product_Tier,Shipment_Date,Discount_Amount
18,F,Ship,5,5,227,3,medium,M,36,3952,1,145.28,On Time,Medium,2023-08-31,81.72
3148,B,Flight,4,2,272,3,high,F,6,4559,0,255.68,Delayed,High,2023-08-15,16.32
7096,B,Ship,5,2,195,6,high,M,5,5339,1,185.25,On Time,High,2023-09-01,9.75
3368,F,Ship,4,1,178,8,medium,F,6,4872,0,167.32,Delayed,Medium,2023-07-17,10.68
5500,B,Ship,6,4,256,4,low,F,9,1676,0,232.96,Delayed,Low,2023-04-16,23.04
10813,D,Road,3,3,139,3,low,F,7,5199,1,129.27,On Time,Low,2023-01-11,9.73
4790,F,Road,5,3,232,7,medium,M,6,5285,1,218.08,On Time,Medium,2023-12-31,13.92
9992,F,Road,3,1,256,3,low,F,5,5643,0,243.2,Delayed,Low,2023-05-30,12.8
8603,C,Ship,5,5,232,5,low,M,1,1127,0,229.68,Delayed,Low,2023-01-08,2.32
9452,F,Flight,5,3,228,5,high,M,9,1924,0,207.48,Delayed,High,2023-08-17,20.52
5953,D,Ship,3,2,204,10,medium,F,10,4534,0,183.6,Delayed,Medium,2023-04-02,20.4
2650,B,Ship,2,1,192,3,high,M,46,3206,1,103.68,On Time,High,2023-01-22,88.32
7150,B,Ship,5,5,235,5,medium,M,9,1032,1,213.85,On Time,Medium,2023-03-19,21.15
10762,B,Ship,5,1,220,5,low,F,4,1156,1,211.2,On Time,Low,2023-01-11,8.8
6161,C,Flight,4,5,210,2,medium,M,5,5683,0,199.5,Delayed,Medium,2023-02-18,10.5
9206,F,Ship,4,4,144,3,low,M,6,4137,1,135.36,On Time,Low,2023-03-01,8.64
9474,F,Ship,5,1,137,3,medium,F,10,4641,0,123.3,Delayed,Medium,2023-06-11,13.7
4670,F,Flight,4,4,224,5,low,F,9,4902,1,203.84,On Time,Low,2023-08-06,20.16
4855,D,Ship,2,5,284,3,medium,M,6,4575,0,266.96,Delayed,Medium,2023-08-16,17.04
3732,F,Ship,4,5,201,3,low,F,10,4530,1,180.9,On Time,Low,2023-12-10,20.1
4722,F,Ship,3,2,201,6,medium,M,7,4723,1,186.93,On Time,Medium,2023-06-01,14.07
2007,A,Ship,3,2,209,2,low,F,24,2748,1,158.84,On Time,Low,2023-11-12,50.16
7449,A,Ship,4,5,223,5,medium,M,4,4704,0,214.08,Delayed,Medium,2023-07-08,8.92
7307,C,Ship,3,2,181,3,low,M,4,5966,1,173.76,On Time,Low,2023-02-15,7.24
1406,F,Ship,5,1,190,4,medium,M,24,3446,1,144.4,On Time,Medium,2023-08-09,45.6
1020,F,Ship,3,2,261,5,medium,M,45,2488,1,143.55,On Time,Medium,2023-09-04,117.45
8592,F,Ship,4,4,144,8,medium,M,6,4390,1,135.36,On Time,Medium,2023-11-13,8.64
8056,B,Ship,3,5,212,3,medium,M,7,4411,1,197.16,On Time,Medium,2023-02-17,14.84
10679,C,Road,3,3,241,3,low,F,6,5261,0,226.54,Delayed,Low,2023-08-18,14.46
490,B,Ship,3,3,235,3,low,M,5,3065,1,223.25,On Time,Low,2023-01-11,11.75
5573,C,Ship,3,1,225,3,medium,M,2,4284,0,220.5,Delayed,Medium,2023-08-10,4.5
795,A,Ship,4,5,255,4,low,M,14,3099,1,219.3,On Time,Low,2023-10-10,35.7
2197,D,Flight,4,2,214,2,low,M,49,3416,1,109.14,On Time,Low,2023-03-13,104.86
1107,A,Flight,3,3,213,6,low,F,17,2424,1,176.79,On Time,Low,2023-04-20,36.21
4229,C,Road,6,5,220,3,medium,M,1,5508,0,217.8,Delayed,Medium,2023-07-18,2.2
287,C,Flight,5,3,234,2,low,F,55,3308,1,105.3,On Time,Low,2023-05-12,128.7
375,A,Ship,5,1,227,3,low,F,19,3007,1,183.87,On Time,Low,2023-04-18,43.13
7532,F,Flight,4,4,148,2,low,M,4,5437,0,142.08,Delayed,Low,2023-05-14,5.92
412,B,Flight,3,4,200,2,medium,M,14,3528,1,172,On Time,Medium,2023-11-17,28
7703,C,Ship,7,3,272,4,medium,M,2,1754,0,266.56,Delayed,Medium,2023-04-17,5.44
1108,B,Flight,3,1,211,2,low,F,45,3332,1,116.05,On Time,Low,2023-02-16,94.95
7862,F,Ship,4,2,255,3,low,F,8,5865,0,234.6,Delayed,Low,2023-07-18,20.4
2443,D,Road,4,3,271,2,medium,M,22,2595,1,211.38,On Time,Medium,2023-09-13,59.62
5832,F,Ship,3,5,269,5,low,M,6,5932,1,252.86,On Time,Low,2023-05-12,16.14
4378,B,Road,2,2,158,3,high,F,1,4149,0,156.42,Delayed,High,2023-11-25,1.58
3299,C,Flight,5,4,243,3,medium,M,4,4420,1,233.28,On Time,Medium,2023-04-17,9.72
3817,D,Road,4,4,157,2,medium,M,8,5398,0,144.44,Delayed,Medium,2023-11-14,12.56
3943,D,Ship,5,1,181,4,medium,F,4,5505,0,173.76,Delayed,Medium,2023-04-29,7.24
3229,D,Ship,5,3,210,5,medium,M,9,5431,1,191.1,On Time,Medium,2023-11-07,18.9
4536,F,Flight,5,3,198,3,low,F,6,5061,1,186.12,On Time,Low,2023-06-30,11.88
8670,F,Ship,4,4,189,2,medium,M,3,5837,1,183.33,On Time,Medium,2023-10-26,5.67
6236,F,Ship,5,4,173,4,high,F,8,5284,1,159.16,On Time,High,2023-03-07,13.84
3445,D,Ship,2,2,240,5,low,M,7,4138,1,223.2,On Time,Low,2023-07-05,16.8
9395,C,Ship,3,1,193,10,high,F,1,4459,0,191.07,Delayed,High,2023-09-12,1.93
7513,D,Road,5,2,268,5,medium,F,5,1876,1,254.6,On Time,Medium,2023-01-26,13.4
7680,F,Flight,3,1,159,2,medium,F,3,5691,0,154.23,Delayed,Medium,2023-10-16,4.77
7161,A,Ship,5,3,257,5,low,F,3,1262,1,249.29,On Time,Low,2023-10-02,7.71
10630,B,Ship,4,5,274,4,low,M,3,5145,0,265.78,Delayed,Low,2023-08-31,8.22
8088,F,Flight,4,1,164,3,high,F,1,5492,0,162.36,Delayed,High,2023-03-30,1.64
2741,C,Flight,3,1,121,5,low,F,60,1577,1,48.4,On Time,Low,2023-11-21,72.6
852,F,Ship,4,5,170,2,low,F,57,1533,1,73.1,On Time,Low,2023-12-17,96.9
4074,F,Ship,2,1,187,3,medium,F,3,5922,0,181.39,Delayed,Medium,2023-02-09,5.61
5486,F,Flight,4,5,113,3,medium,F,10,4053,1,101.7,On Time,Medium,2023-02-19,11.3
5725,D,Ship,5,5,287,4,low,M,4,1509,1,275.52,On Time,Low,2023-08-06,11.48
3875,C,Ship,2,5,176,3,low,F,4,5463,0,168.96,Delayed,Low,2023-09-16,7.04
2261,C,Ship,3,2,208,4,medium,M,52,2900,1,99.84,On Time,Medium,2023-10-06,108.16
1332,F,Ship,4,4,255,2,medium,M,29,2267,1,181.05,On Time,Medium,2023-01-31,73.95
10824,F,Flight,5,5,203,2,low,M,10,4790,1,182.7,On Time,Low,2023-09-18,20.3
1014,F,Ship,4,1,178,2,high,M,39,1362,1,108.58,On Time,High,2023-07-08,69.42
6570,F,Road,6,3,297,4,medium,F,2,1520,1,291.06,On Time,Medium,2023-10-21,5.94
7670,F,Flight,4,1,263,5,low,F,8,1257,0,241.96,Delayed,Low,2023-07-13,21.04
7498,B,Ship,5,4,231,6,medium,F,3,1075,0,224.07,Delayed,Medium,2023-06-14,6.93
5494,B,Flight,3,5,256,2,medium,F,4,5368,1,245.76,On Time,Medium,2023-09-18,10.24
10312,B,Ship,3,5,174,3,low,M,7,5672,1,161.82,On Time,Low,2023-08-10,12.18
10102,B,Ship,4,3,203,2,low,M,8,5597,0,186.76,Delayed,Low,2023-09-29,16.24
10904,F,Ship,3,5,241,4,low,F,9,5526,1,219.31,On Time,Low,2023-04-11,21.69
3596,F,Ship,4,2,233,2,low,F,5,4668,0,221.35,Delayed,Low,2023-07-19,11.65
1754,F,Ship,3,2,184,5,high,F,26,3336,1,136.16,On Time,High,2023-04-18,47.84
5145,A,Ship,2,3,274,4,medium,F,10,4798,1,246.6,On Time,Medium,2023-06-21,27.4
6872,F,Ship,5,2,266,5,low,F,10,1274,1,239.4,On Time,Low,2023-01-22,26.6
3443,C,Ship,4,4,235,2,low,M,4,5671,0,225.6,Delayed,Low,2023-01-17,9.4
4188,F,Ship,4,4,206,3,medium,F,10,4262,0,185.4,Delayed,Medium,2023-09-07,20.6
3405,A,Road,5,5,232,4,low,M,3,5447,0,225.04,Delayed,Low,2023-01-25,6.96
4699,D,Ship,4,3,213,3,low,F,2,5722,0,208.74,Delayed,Low,2023-09-16,4.26
4163,C,Ship,5,5,265,3,low,M,6,4423,1,249.1,On Time,Low,2023-04-11,15.9
8530,B,Ship,4,5,253,3,low,F,9,4205,0,230.23,Delayed,Low,2023-03-01,22.77
2237,C,Ship,4,2,275,3,medium,M,26,2449,1,203.5,On Time,Medium,2023-03-02,71.5
5388,F,Ship,5,2,226,3,medium,M,6,4700,1,212.44,On Time,Medium,2023-09-09,13.56
5142,F,Ship,4,5,240,5,low,M,8,4558,0,220.8,Delayed,Low,2023-08-26,19.2
7039,D,Ship,6,1,264,3,high,F,5,4435,1,250.8,On Time,High,2023-11-07,13.2
5821,D,Ship,3,1,192,3,low,F,4,5179,0,184.32,Delayed,Low,2023-07-26,7.68
1347,A,Road,4,4,145,3,low,F,43,1651,1,82.65,On Time,Low,2023-04-13,62.35
2917,D,Ship,5,1,154,2,low,M,37,1671,1,97.02,On Time,Low,2023-01-15,56.98
3774,F,Ship,3,3,172,6,medium,F,5,5366,1,163.4,On Time,Medium,2023-03-16,8.6
1109,C,Flight,4,4,232,3,medium,F,61,2484,1,90.48,On Time,Medium,2023-08-06,141.52
5099,C,Ship,5,5,240,2,low,F,7,4409,1,223.2,On Time,Low,2023-12-19,16.8
2284,B,Ship,6,5,174,3,medium,F,32,1921,1,118.32,On Time,Medium,2023-11-03,55.68
9619,D,Ship,5,3,192,7,medium,M,10,5976,0,172.8,Delayed,Medium,2023-07-18,19.2
5032,B,Ship,6,4,294,4,medium,M,6,1112,0,276.36,Delayed,Medium,2023-12-20,17.64
3156,F,Flight,3,4,149,3,low,M,1,5040,1,147.51,On Time,Low,2023-07-05,1.49
3555,A,Road,3,4,182,3,medium,F,7,5409,1,169.26,On Time,Medium,2023-10-05,12.74
4914,F,Road,3,1,166,2,low,M,2,5710,1,162.68,On Time,Low,2023-04-28,3.32
8526,F,Ship,3,1,155,3,low,F,9,5539,0,141.05,Delayed,Low,2023-11-13,13.95
6661,D,Ship,4,1,261,3,low,F,10,5943,0,234.9,Delayed,Low,2023-08-03,26.1
9015,A,Ship,4,5,137,2,low,M,6,4055,1,128.78,On Time,Low,2023-07-07,8.22
9627,A,Ship,4,2,275,5,medium,M,5,1900,0,261.25,Delayed,Medium,2023-10-11,13.75
15,A,Flight,4,3,152,3,low,M,43,1009,1,86.64,On Time,Low,2023-03-23,65.36
10546,B,Flight,5,1,202,4,low,F,2,5748,0,197.96,Delayed,Low,2023-04-23,4.04
3475,D,Ship,2,2,161,5,medium,M,3,4138,0,156.17,Delayed,Medium,2023-07-01,4.83
1955,C,Ship,5,4,228,3,medium,M,20,3382,1,182.4,On Time,Medium,2023-12-20,45.6
2697,A,Ship,4,2,191,2,high,M,65,3082,1,66.85,On Time,High,2023-10-05,124.15
8404,B,Ship,3,4,250,3,low,M,6,5565,0,235,Delayed,Low,2023-08-22,15
1714,B,Ship,4,2,200,3,medium,M,45,2486,1,110,On Time,Medium,2023-08-08,90
6182,F,Flight,3,4,201,3,high,M,7,4887,1,186.93,On Time,High,2023-03-23,14.07
7501,D,Ship,7,2,300,4,medium,F,10,1179,0,270,Delayed,Medium,2023-07-28,30
3737,C,Ship,4,4,156,2,low,M,7,5017,0,145.08,Delayed,Low,2023-12-07,10.92
9354,F,Ship,6,3,285,4,medium,F,1,1606,0,282.15,Delayed,Medium,2023-09-10,2.85
5174,F,Ship,3,3,211,3,medium,M,7,5185,0,196.23,Delayed,Medium,2023-12-03,14.77
2250,F,Ship,3,4,270,2,low,M,39,3690,1,164.7,On Time,Low,2023-12-21,105.3
10084,B,Ship,5,1,233,3,low,F,6,5560,0,219.02,Delayed,Low,2023-05-13,13.98
9425,C,Ship,7,5,256,4,medium,M,4,1139,1,245.76,On Time,Medium,2023-05-20,10.24
10036,B,Ship,3,3,219,3,high,M,5,4321,0,208.05,Delayed,High,2023-05-07,10.95
5335,D,Road,5,3,111,4,medium,F,8,4575,0,102.12,Delayed,Medium,2023-12-31,8.88
7790,F,Road,3,3,153,3,low,F,3,4829,0,148.41,Delayed,Low,2023-11-23,4.59
998,F,Ship,3,5,164,3,medium,F,43,1423,1,93.48,On Time,Medium,2023-06-17,70.52
4442,F,Ship,6,4,218,6,medium,M,1,4625,1,215.82,On Time,Medium,2023-10-11,2.18
8473,D,Road,3,3,227,3,medium,M,3,5644,0,220.19,Delayed,Medium,2023-10-25,6.81
3773,C,Ship,3,5,156,8,medium,F,9,4733,1,141.96,On Time,Medium,2023-11-03,14.04
1804,B,Ship,3,4,151,3,low,M,16,1020,1,126.84,On Time,Low,2023-09-10,24.16
9103,D,Ship,4,4,226,5,low,M,1,1761,0,223.74,Delayed,Low,2023-05-16,2.26
8968,B,Ship,4,1,238,4,medium,F,10,4860,0,214.2,Delayed,Medium,2023-07-15,23.8
10004,F,Flight,3,5,125,2,low,F,2,4182,1,122.5,On Time,Low,2023-12-23,2.5
3464,F,Ship,4,4,186,2,medium,F,9,4887,1,169.26,On Time,Medium,2023-02-26,16.74
5398,B,Ship,5,3,202,4,low,M,6,5107,0,189.88,Delayed,Low,2023-07-09,12.12
1034,F,Ship,2,2,198,2,low,M,11,3686,1,176.22,On Time,Low,2023-10-02,21.78
338,F,Ship,4,4,201,2,low,F,1,3147,1,198.99,On Time,Low,2023-11-14,2.01
4844,F,Ship,6,5,284,4,medium,M,8,5346,1,261.28,On Time,Medium,2023-03-07,22.72
5674,B,Ship,3,1,175,3,medium,F,9,5797,0,159.25,Delayed,Medium,2023-11-29,15.75
9225,A,Ship,3,1,178,4,medium,M,9,5727,1,161.98,On Time,Medium,2023-10-07,16.02
7,D,Flight,3,4,250,3,low,F,3,2371,1,242.5,On Time,Low,2023-03-04,7.5
10830,F,Flight,4,4,199,4,high,M,1,4163,1,197.01,On Time,High,2023-04-24,1.99
3062,F,Ship,3,5,237,4,low,M,28,3903,1,170.64,On Time,Low,2023-03-29,66.36
3799,D,Ship,5,1,241,3,high,M,8,5306,1,221.72,On Time,High,2023-10-22,19.28
7004,F,Flight,3,5,208,3,low,M,1,4803,0,205.92,Delayed,Low,2023-03-22,2.08
10240,B,Ship,5,2,218,3,low,M,4,5363,1,209.28,On Time,Low,2023-07-09,8.72
9404,F,Ship,6,1,287,4,medium,M,5,1791,1,272.65,On Time,Medium,2023-05-21,14.35
3798,F,Ship,4,2,182,3,medium,M,7,4710,1,169.26,On Time,Medium,2023-04-19,12.74
6480,F,Ship,4,4,142,10,high,F,7,4624,0,132.06,Delayed,High,2023-03-30,9.94
7933,D,Road,3,3,188,5,low,F,6,5713,0,176.72,Delayed,Low,2023-01-07,11.28
4815,A,Ship,7,3,286,4,low,F,3,1670,0,277.42,Delayed,Low,2023-05-17,8.58
1528,B,Ship,5,5,229,2,medium,F,59,3844,1,93.89,On Time,Medium,2023-10-12,135.11
5971,D,Ship,4,5,271,4,low,M,6,5078,0,254.74,Delayed,Low,2023-12-31,16.26
8906,F,Flight,5,3,238,5,low,M,1,1871,1,235.62,On Time,Low,2023-08-21,2.38
8905,D,Flight,6,4,270,4,low,F,10,1698,0,243,Delayed,Low,2023-11-11,27
6390,F,Ship,4,2,197,2,low,F,1,4977,0,195.03,Delayed,Low,2023-04-24,1.97
8719,D,Ship,5,1,149,3,low,F,9,5173,1,135.59,On Time,Low,2023-09-01,13.41
3127,D,Road,3,1,224,3,low,F,48,3672,1,116.48,On Time,Low,2023-12-03,107.52
3245,C,Ship,3,2,231,4,medium,M,4,5510,0,221.76,Delayed,Medium,2023-10-30,9.24
6071,C,Ship,5,5,175,6,low,F,2,4883,1,171.5,On Time,Low,2023-06-10,3.5
4759,D,Ship,7,2,291,4,low,F,8,1275,0,267.72,Delayed,Low,2023-08-28,23.28
3203,C,Ship,3,3,132,2,low,F,9,4355,1,120.12,On Time,Low,2023-03-02,11.88
1336,B,Ship,4,2,256,2,medium,M,10,3128,1,230.4,On Time,Medium,2023-10-01,25.6
385,D,Road,4,3,236,2,high,M,23,3123,1,181.72,On Time,High,2023-04-01,54.28
4013,C,Ship,4,2,179,3,low,M,3,5284,0,173.63,Delayed,Low,2023-08-12,5.37
8075,C,Road,4,4,199,3,low,F,9,5016,0,181.09,Delayed,Low,2023-04-19,17.91
2838,F,Ship,3,5,146,3,medium,F,30,1569,1,102.2,On Time,Medium,2023-12-08,43.8
